features,PC1_importance,PC2_importance,PC3_importance,PC4_importance
%Vbur_C1_2.0Å_Boltz,-0.20402074225971165,0.10218968899723961,0.021533344396853442,0.1198582973249832
%Vbur_C1_2.0Å_min,-0.18438904664360167,0.1276886241147779,0.004547600907381466,0.11409212958178498
%Vbur_N1_2.0Å_Boltz,-0.1433125934180828,0.07490769833961404,-0.028913520109135726,-0.08059860185942193
%Vbur_N1_2.0Å_Vbur_min,-0.1470699900256154,0.09183795735224073,0.04821510694413975,-0.22787853325311375
Buried_Sterimol_B1_N1_C1_5.0(Å)_Boltz,-0.14356896703764158,0.1372166527902316,-0.07273054871511624,0.13788787825849028
Buried_Sterimol_B1_N1_C1_5.0(Å)_Vbur_min,-0.1468045994977436,0.15411893304065136,-0.0512507980280811,0.046930187764062485
Buried_Sterimol_B1_N1_C1_5.0(Å)_max,-0.06280496638806597,0.19936174657101757,0.08825886487894405,0.07256881091510503
Buried_Sterimol_B1_N1_C1_5.0(Å)_min,-0.14049837570829982,0.14526820350829667,-0.0838068197969395,0.12386186070582723
Buried_Sterimol_B5_N1_C1_5.0(Å)_Boltz,0.12479025211338533,-0.06669781135573831,0.2055864953696145,-0.07596342390443568
Buried_Sterimol_B5_N1_C1_5.0(Å)_Vbur_min,0.007109083563445505,-0.014107134477284218,0.1965664038166566,-0.15960396201125351
Buried_Sterimol_B5_N1_C1_5.0(Å)_low_E,0.0453440702104681,-0.043304618274522436,0.1812170630167835,-0.07553941266338682
Buried_Sterimol_B5_N1_C1_5.0(Å)_max,0.10915324570092529,-0.020784408136787277,0.22920487368205628,-0.1452496492827451
Buried_Sterimol_L_N1_C1_5.0(Å)_Boltz,0.15679131232541443,0.12787071233243247,-0.12437792457005994,0.09940489644412079
Buried_Sterimol_L_N1_C1_5.0(Å)_Vbur_min,0.213810450821906,0.04113406660225005,-0.12636491085921214,0.060344445854857834
Buried_Sterimol_L_N1_C1_5.0(Å)_low_E,0.2121976017270865,0.09803686673982046,-0.14708309544296316,0.07907950541492396
Buried_Sterimol_L_N1_C1_5.0(Å)_max,0.12467831283258497,0.09929061015054647,-0.05152373808000741,-0.15242844975577158
Buried_Sterimol_L_N1_C1_5.0(Å)_min,0.11855509476943928,0.10363015102668009,-0.1567045815312051,0.09429252239315387
